,samples,time,c-G418,c-5-FU,c-FUR,c-FdUR,c-U,c-PSU,c-inosine,c-GSH,c-GSSG,c-glutamine
0,control,1,0.0,0.0,0.0,0.0,1.3686583637273097e-06,8.560928600700384e-07,2.045654287733421e-06,0.0006383540245044439,5.57681073550494e-07,8.333082864920405e-06
1,control,2,0.0,0.0,0.0,0.0,4.6647968018772795e-07,8.802539375018534e-07,3.1169385758980968e-06,0.0006815492115914138,8.688413147283091e-07,9.147726032836743e-06
2,control,3,0.0,0.0,0.0,0.0,5.826233206858565e-07,8.583558445607606e-07,3.3923058755939047e-06,0.00032111721508807246,4.500157871558631e-07,4.311774246513247e-06
3,G418,1,0.0,0.0,0.0,0.0,1.12265351854151e-06,7.898359491864346e-07,1.5832415289690485e-06,0.0010134909202372823,8.450353579848423e-07,1.5759906528674033e-05
4,G418,2,0.0,0.0,0.0,0.0,1.1876355840694436e-06,7.77334917801109e-07,3.927834825196905e-06,0.0006659072561655599,7.284627510798848e-07,1.0888804775786163e-05
5,G418,3,2.6924435058172466e-08,0.0,0.0,0.0,6.156206083976168e-07,7.395503012535988e-07,2.8013601552588126e-06,0.0002144520812933145,4.581719151168558e-07,4.098984986553871e-06
6,5-FU,1,0.0,5.0703439821318865e-06,1.7353862409135797e-06,2.8958934963083565e-08,1.6454765015272663e-06,5.074891820399606e-07,1.195316196591813e-06,0.0006821590155461005,7.339628390707023e-07,1.2369575801420112e-05
7,5-FU,2,0.0,7.733758238116005e-06,4.428631453997298e-06,2.5515843059226914e-08,1.7714982129979481e-06,5.855224909926077e-07,5.919528284150376e-07,0.0007148887934136003,7.736116629174805e-07,1.571429641539343e-05
8,5-FU,3,0.0,5.43568740469915e-06,3.9256120968054224e-06,2.5686188383026075e-08,7.545572584204573e-07,4.981306645209423e-07,4.313185755019332e-07,0.0002658190377826233,4.4637935329122384e-07,7.805577768032086e-06
9,5-FUR,1,0.0,6.482347461307509e-06,2.683324474445125e-05,7.004335843595795e-08,1.1319862691271746e-06,9.199606386987156e-07,3.915071091103198e-07,0.0006341944178052339,7.732563804237256e-07,1.5548687505581617e-05
10,5-FUR,2,0.0,5.0015024898898085e-06,9.651597980721442e-06,3.7281570254441337e-08,8.624329888024448e-07,2.7981631360883415e-07,1.539250444796755e-07,0.00010628310395602769,4.140578776415736e-07,7.6058516653526094e-06
11,5-FUR,3,0.0,3.226852582481998e-06,5.085904579253949e-06,2.8383302487589984e-08,7.24162566324298e-07,1.934806416259314e-07,3.085145317631515e-07,3.306543629910965e-06,3.5333596431938344e-07,2.064783519140617e-06
12,5-FdUR,1,0.0,2.414930240237307e-06,6.462225170502526e-07,9.437647366299101e-07,2.6351866733504425e-06,8.264576757405146e-07,1.212968934309984e-06,0.0007977547691686585,7.665783318704115e-07,2.1591761610163723e-05
13,5-FdUR,2,0.0,2.9883119207710324e-06,9.153943544963244e-07,2.6345750395637405e-07,1.7957753367970073e-06,7.671143681320011e-07,8.906341421047121e-07,0.0006361842910851409,7.879589420904428e-07,1.7605868136222115e-05
14,5-FdUR,3,0.0,4.041998280602739e-06,1.3924276389795666e-06,1.7955732081604683e-07,1.6857087096194324e-06,5.7624599997482e-07,1.302558334840864e-06,0.0001419939318487839,1.7074144077040644e-07,7.631372179477203e-06
15,PSU,1,0.0,0.0,0.0,3.964651776044315e-08,1.723433028366277e-06,4.522198468967563e-06,2.498759512898944e-06,0.0009393566291831713,8.69933621830838e-07,1.2068224765888707e-05
16,PSU,2,0.0,0.0,0.0,0.0,5.006313213300011e-07,3.771055478958275e-06,6.0804924328379e-06,0.0007602196307438865,1.3339342965554818e-06,9.585545132241296e-06
17,PSU,3,0.0,0.0,0.0,0.0,5.011273899241915e-07,3.6493454548931855e-06,1.6634263415842122e-06,0.0002996617085601447,3.581523739104757e-07,6.895829879273264e-06
