samples,time,m-G418,m-5FU,m-FUR,m-FdUR,m-U,m-PSU,m-inosine,m-GSH,m-glutamine
control,0,0.0,0.0,0.0,0.0,0.6352168257122802,0.6599721260726212,0.5384731793760451,0.5855373911871826,0.8179291436159766
control,1,0.0,0.0,0.0,0.0,0.40855677510050303,0.6106128224494329,0.31391628619591083,0.6152757728380749,0.43555716428335783
control,2,0.0,0.0,0.0,0.0,0.11519288913937853,1.0000000000000002,0.016186106659044408,0.9681786478764032,0.15246628567868004
control,3,0.0,0.0,0.0,0.0,0.054526984277898594,0.968459193972979,0.011578584458109997,0.3255544060150761,0.0
G418,0,1.0,0.0,0.0,0.0,0.029848096223157206,0.5722806210554452,0.2412097322709308,0.5160896758199192,0.9168475255967157
G418,1,0.8627646056554873,0.0,0.0,0.0,0.19083582505430963,0.5698680988096771,0.1794405691024148,0.5916830077639839,0.45388043783715437
G418,2,0.5971127853012426,0.0,0.0,0.0,0.14266131262417348,0.8130583373613638,0.0,0.7657131378602404,0.2543191045429709
G418,3,0.42223076979472385,0.0,0.0,0.0,0.25922464071241713,0.5656934129062525,0.0589968462137046,0.7283069358923067,0.17567070801098136
5-FU,0,0.0,1.0,0.0,0.0,0.2099290034924124,0.4919488205882423,0.34710905875590425,0.7482369115424738,0.9490189029837109
5-FU,1,0.0,0.9670456676514178,0.0003525828307450093,0.0005251866799269672,0.0,0.3606401546851983,0.06140270156623884,0.6441275938138205,0.520757097763951
5-FU,2,0.0,0.9460802713347665,0.0008613642669570583,0.000602258062233393,0.0489077397987151,0.5100420796234004,0.2945189169325566,0.8398206789281621,0.3359288841067529
5-FU,3,0.0,0.6775904731274026,0.0009018898621809351,0.0005794285587748524,0.12134085972806441,0.0,0.2430091869810609,0.0,0.2154112961380968
5-FUR,0,0.0,0.000608894312931544,1.0,7.992737980505338e-05,0.3466515659265429,0.6256833977815297,0.19162466792371347,0.38741181272276837,0.8540910417107147
5-FUR,1,0.0,0.12633694059611084,0.5797234320723242,0.0010111992839056932,0.794679627886241,0.48456800748745166,1.0,0.641906173457369,0.5909751432248128
5-FUR,2,0.0,0.27011784562317476,0.5476011003389003,0.0016086164791938669,0.7567689683106945,0.41896814895590073,0.9698173290433536,0.5861632808913999,0.48472673356348195
5-FUR,3,0.0,0.4998636287542001,0.5636021846071485,0.002335861291871523,1.0,0.6158277123154903,0.4374344874839644,0.22378984169074556,0.38679403312999383
5-FdUR,0,0.0,0.000163642056963372,0.002074711434948698,1.0,0.21525756108701777,0.5352890267527568,0.23599000447513374,0.32650388835227595,1.0000000000000002
5-FdUR,1,0.0,0.05958263062196103,0.0004293241445122912,0.8005565846573545,0.17226048144172235,0.40998424670489064,0.4412191267798178,0.6405836384150003,0.6121490934573733
5-FdUR,2,0.0,0.14961044595254225,0.0005747161316163383,0.771277665489662,0.5236311367988055,0.5155431458278705,0.4985819017290585,1.0,0.3915667318460753
5-FdUR,3,0.0,0.2483841727366729,0.000919106599078675,0.8767483222066272,0.8754176010045581,0.5464120993076504,0.1914327891018086,0.5191394089850245,0.2649648231516383
PSU,0,0.0,0.0,0.0,0.0,1.0,0.038993801254021854,0.7525539760054603,0.0,1.0000000000000002
PSU,1,0.0,0.0,0.0,0.0,0.7200858477010703,0.0,0.5272173824193871,1.0,0.6850440327147626
PSU,2,0.0,0.0,0.0,0.0,0.38412642610223147,0.29750430510487735,1.0,0.6889124986859052,0.21308968390729688
PSU,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.92162469744612,0.0
